id,category,title,description,seller_price,buyer_price,short_name
503_6152517340,electronics,"Panasonic 55"" Viera TC-P55VT60 Smart Plasma HDTV, Mint TV","Panasonic Viera TC-P55VT60 55"" 3D 600 Hz Smart Plasma HDTV, mint condition, original owner, non-smoking home.  ISF calibrated (calibration results provided).  This Panasonic Plasma TV includes 3D glasses.  Includes stand.  This, the VT60 series, is the last and best series of plasma TV sets made by Panasonic. This is a great 1080P set.  I'm updating to 4K so am selling this unit, which is in mint condition.  This has an extremely fast 600 Hz display that is great for gaming and sports, plus it has very low black levels (.007 fL), plus accurate grayscale and colors. My Home Screen Swipe & Share 2.0 Voice Interaction",995,696,Smart Plasma TV
504_6133395433,housing,"Carports, Large Spacious Units, Recreation Area, Pool, Heating","Call Now - Experience the comforts of home at Metro 77 & 85 in San Leandro, California. Choose one of our spacious floor plans, which allow for ultimate privacy located in a secure setting with video surveillance. We offer studios, one, two and three bedroom apartment homes, with private balcony/patios. We feature built-in G.E./Hotpoint electric appliances, plenty of natural light, walk-in closets and cable-ready units. We have a convenient laundry room and additional storage is available. Call us today! Metro 77 & 85 are located minutes away from downtown San Leandro. Walk to restaurants, shopping & weekly farmer's market. A lovely, quiet garden setting with private patios overlooking a sparkling swimming pool. Features: High Speed Internet Access, Stainless Steel Appliances, Smoke Free, Large Spacious Units, Heating, Cable Ready, Walk-In Closets, Dishwasher, Crown Molding, Patios/Decks",2400,1680,Apartment Complex
505_6133214924,housing,CHARMING APARTMENTS WITH FULLY EQUIPPED KITCHENS!,"http://www.elevatetoridgecrest.com/ Elevate to Ridgecrest Ridgecrest Apartment Homes offers one-, two-, and three-bedroom residences with fully equipped kitchens, ceiling fans, and air conditioners. Select apartments have designer fixtures, upgraded cabinetry, and stainless appliances. Residents have access to wonderful amenities such as a swimming pool, a clubhouse, and a business center. Visit today. * Beautiful walkways and landscaping * Playground area * Laundry facilities on-site",2172,1520,Apartment
507_6154605596,phone,Apple iPhone 6 Plus - 16GB - Silver - UNLOCKED!!!,Apple iPhone 6 Plus - 16GB - Silver NGAM2LL/A NETWORK UNLOCKED! CLEAN IMEI & RUNNING IOS 10.3.2!,300,270,iPhone
508_6152546912,bike,2 Magna Bikes,"2 Magna bikes.  These are sold as is.  The tires all look to be in good condition.  They all pedal well.  2 have seats that are coming apart.  You will need new tubes.  All are nice looking bikes.  1 is a boys, one is a girls.",25,12,Bicycle
513_6154185691,electronics,Motorola Wi-Fi Pet Video Camera,"The selling price is negotiable but please, no low-ballers.  Also willing to accept good wine, whiskey, etc.",50,45,Pet Video Camera
516_6130055624,phone,AT&T Samsung Galaxy Note 4 - Great condition! Includes wall charger,Great condition! Works fine. No cracks. On AT&T network.,199,179,Samsung Galaxy
521_6149124717,bike,"Schwinn Sidewinder 26"" and Next Powerclimber","Pair of bikes, One Schwinn Sidewinder and One Next Powerclimber. Schwinn has a flat tire in the rear not been used for a few month but stayed in garage and rest in good condition.",75,37,Mountain Bikes
530_6133172392,car,2001 Honda Civic LX Sedan 4-Door Auto -Only 60k Miles -Clean Carfax,"Air conditioning, power windows, power door locks, power steering, tilt wheel, cruise control, am/fm stereo, dual air bags.",6500,4550,Sedan
534_6153481655,bike,Custom BMX Bike (Fitbikeco),"Hi I am putting up for sale my custom bmx bike that has a lot of custom parts on it I don't ride it much anymore and it is hardly my size but im in no rush to sell it is a 2014 Fitbikeco frame full cromoly here are the parts: Fitbikeco Dugan 2 handlebars with red odi grips, stock stem sanded down to look like nice design, stock headset, stock forks cromoly,Primo pivotal seat and post, stolen team v3 3 piece cranks , stock bottom bracket sealed, mission nexus sprocket, stock tires (slightly worn still have a ways to go), kmc chain, odyssey twisted pc pedals, aftermarket ailen nation wheelset with nice aluminum valve caps, all bearing and hubs where just lubricated and are in great condition.",425,297,BMX Bike
546_6133663226,housing,Cozy Garden Studio Utilities + Internet Included!,Cozy Garden Studio on a beautiful and quiet neighborhood in Rockridge / North Oakland area. Just a block from Telegraph and a 7 minute walk to the Rockridge BART station and Trader Joes'. Very close to College ave caf√®'s and restaurants. Colby Park just steps from the front door and a great place to have your morning breakfast or coffee in the morning.,1500,1350, Garden Studio Utilities
549_6133034792,housing,"Gorgeous 1+ bed/bath, secluded Oakland Hills duplex, private deck","Spacious 1+ bedroom, 1 bath, large kitchenette/living room. Bottom floor unit in a duplex. Freshly remodeled and painted. Accessible via private staircase and entry. Large private deck with amazing canyon views. Shared washer/dryer on same floor as unit.",2300,1150,Apartment
601_6133270898,car,2004 Toyota Tacoma SR5 Pickup V6 Auto -Off Road Pkge -Wheels -4 Doors,"Full power, air conditioning, premium sound, dual air bags, premium wheels, oversized off-road tires, many extras!",13000,11700,Pickup Truck
602_6147939499,electronics,4 pairs of Samsung 3D active glasses,I have 4 pair of 3D active glasses for the Samsung plasma PN60F8500 TV. We used them about 5 times to watch 3D and our tv broke so we have no need for them They are all perfect condition and some may still have battery life.,40,28,3D Glasses
604_6150546886,bike,Trek Navigator 200 - Hybrid Commuter,"-The frame is sized 16.5"" or 41cm -Please understand that this bike is not immediately rideable. It was in riding condition and then sat at my mom's house for a year or more. Will need new chain and air in the tires at the very least.",60,42,Hybrid Bicycle
605_6133490785,car,1994 Bmw 530i Up For Sale,"-  It is in great running condition, It is a clean titled car pretty rare for its year. -  It has 136k miles as you can see on the pictures. -  It is currently registered until October, 2017. -  Just got the smog done about 3 days ago. - Will go the DMV for new tags soon.",4000,3600,Sedan
606_6124432563,housing,Ideal location in Livermore! Will not last!,Small complex of only 15 units Hardwood floor and dining area New carpet Spacious 2 bedroom apt approx 950 sq ft,1900,950,Small complex
608_6130849876,electronics,"20"" LED Emergency Strobe Light Lamp Bar","20"" LED Emergency Vehicle Dash Warning Strobe Flashing Light. these lights are a great addition and will defiantly get people out of your way as so you can respond on time! 7 Different modes of flashing / scanning mode. Please read the description to see a detail description of each mode. Includes: 1 x Traffic strobe light bar with on/off switch and mode changer button",30,21,Emergency Strobe Light
612_6128650577,car,2002 Saturn Vue,"I am selling my 2002 Saturn Vue with 160k miles, 6 cylinder with automatic transmission, all wheel drive. AC/ heater everything works, just passed smog, clean title with clean inside and outside.",3000,2700,SUV
614_6146144753,phone,New hearset for iPhone 6 / 6+ / 5 / 5S - Brand New,"Brand new hearset for iPhone 6 / 6+ / 5 / 5S,   never been used. Features: - 100% brand new headphones with remote & mic - Great Stereo sound quality",5,3,hearset
615_6125292178,phone,cracked screen iphone 5,"yes, my gf is a monster to iphones. cracks every one she's ever had.",50,25,Broken iPhone
617_6144812460,furniture,Desk,This has been a great desk for us but we're moving and can't take it with us. It measures 63 inches wide and 31 1/2 inches deep. The top is solid wood so it's heavy. It can be disassembled if needed. Please email me if you're interested.,60,42,Desk
619_6145271828,furniture,IKEA MILLBERGET Desk Chair White,Only used for 6 months and very clean. Looks like new. Can be put on the backseat of Sedan. Pickup only.,40,20,Desk Chair
620_6115820671,furniture,Dining Room Table w/ 6 Matching Chairs,"Beautiful dining room table with 6 matching chairs handmade in Indonesia. ~60 inch diameter with removable Lazy Susan. Very beautiful detail - see pics and make offer. Must take away in your own vehicle, won't fit in mine.",1000,700,Dining set
622_6093606826,car,1998.5 Cummins *price reduced*,"*PRICE REDUCED* 1998.5 24 valve dodge 3500 4x4 dually lairmie sport welding rig.  Auto trans 219xxx miles power windows door locks. Cruise control. Leather. New front brakes. New starter. Both batteries new. 2 new front tires. Trailer brake. Machine is a 1996 Lincoln sa250 in a 200 frame. Diesel machine. Dual oxygen bottle rack. Stinger missile case as a tool box. Pac rat tool box. 220 feet of lead. 110 each. 125 feet remote cord with ditch box with 110 power at box. All tools will go with truck. Grinders torch gauges hand tools etc. I have the dually bed that will go with the truck too. 11,500 OBO for the whole set up or  8,500 OBO for the truck 3000 OBO for the machine. Need it gone asap",11500,5750,Pickup Truck
624_6133474387,housing,Call Sofi Fremont Home! Great Deals Going On Now!,"Call Now: 889 Mowry Ave, Fremont, CA, 94536 Interested in more information? See link below: http://pinnaclefamily.aptdetails.com/3xzn97 This is a 2 Bedroom, 2 Bath, approximately 1010 Sq. Ft. Sofi Fremont offers its residents an enriched lifestyle: A selection of luxurious rental homes, impeccable service, appealing amenities and an outstanding location. Oscar Wilde said, ""I'm a person of simple tastes. I'm satisfied with only the best."" Consider Sofi Fremont your finest choice. - In-Home Washer & Dryer - Dishwasher - Air Conditioning - Has a View* - Spacious Floor Plans - Window Coverings - Microwave - Energy-Efficient Appliances",2551,2295,Rental Home
625_6131367996,furniture,IKEA EKTORP L-Shaped Couch,"Move-out sale, very good condition IKEA ektorp couch with Dark Grey cover http://www.ikea.com/us/en/catalog/products/S59129176/#/S79164908 Width: 99 1/4 "" Min. depth: 34 5/8 "" Max. depth: 64 1/8 "" Seat height: 17 3/4 "" Width: 252 cm Min. depth: 88 cm",300,270,Couch
630_6143859085,furniture,Nice Coffee Table!,I am selling this black coffee table because I do not have room for it in my small studio anymore.  The glass is not cracked or damaged.  Two small chairs are very sturdy and they slide in and out from under the table.,35,17,Coffee Table
635_6143944344,furniture,Flush Mount Crystal Chandelier,"Flush Mount Crystal Chandelier A timeless symbol of luxury, this flush mount chandelier adds a modern spin to this classic lighting fixture. Dazzling crystals are displayed throughout the design of the chandelier, offering a beautiful lighting display. The flushmount design and chrome finish offer a contemporary look, while four lights provide ample lighting where it's needed. This chrome chandelier is both stunning and functional, making it a wonderful showpiece for any room of your home. Fixture finish: Chrome Number of lights: Four (4)",120,108,Crystal Chandelier
636_6130729275,furniture,European Style Pull Out Sofa Bed,For sale is used European Style Pull Out Sofa Bed. Bed (mattress ) is in good condition. Made out of plush material.,150,105,Sofa Bed
639_6145808463,bike,Jamis Icon 56cm,"This is great for entry level bike or if you are looking for a training/Crit bike. It is a tad bit small for me, so I'm needing it to go to a good home. SRAM Rival crank 175mm Specialized saddle",800,560,Road Bike
643_6133401393,housing,STAR CALLING HOME THIS BEAUTIFUL 2BED 2BATH PLUS HUGE DEN!!,"EXTRA LARGE APARTMENTS *! Unique Units!  Upgraded Units! Only ones in Town with Dens!! EXCELLENT AMENITIES * Indoor swimming pool open year round * Upgraded fitness center with modern machines * Great party / recreation room * Nice grass area with barbeques * Intercom Security Control access GREAT LOCATION * Walk to schools * Close to shopping, restaurants & more * Bus stop at doorstep to BART * 15 minutes to Oakland Airport * Easy access to Highway 238, 580 & 880  To Schedule a tour, please call We are showing everyday from 11am to 6pm including Saturdays on Sunday from 11 am to 4:30 pm. Check our spacious floor plans!! Make Chateau Manor your new home today! For more information about our community, please visit our website showroom at http://www.emeraldliving.net SORRY NO SECTION 8",2395,1676,Apartment
645_6152286778,electronics,Used high end printer Dell 2130cn,High end laser jet printer given to me by a fancy office.  I don't know if it has any defects but the other printer they gave me worked fine as soon as I put in new ink cartridges.,300,270,Printer
654_6132964074,housing,Charming Vallejo Home with Spacious Backyard (BROADWAY),"Take a look at this beautiful home featuring 3 bedrooms, 1 bathroom, and approximately 1,651 square feet. Enjoy the freedom of a virtually maintenance free lifestyle while residing in a great community. This home is professionally managed and maintained by Tricon American Homes. You deserve single family rental living at its best! One-year lease minimum Utilities: Resident pays for all utilities including trash, sewer, and water Animals approved with pet fee and monthly animal rent Breed Restrictions: Pit Bulls, American Staffordshire Terriers, Rottweilers, Doberman Pinchers, Wolf-Hybrids and Perro de Presa Canarios or any dog that has the above breeds in their lineage are not allowed at any home managed by Tricon American Homes. Applicable only where state law allows. Maximum three animals allowed Equal Housing Opportunity",1895,947,Single-Family Home
655_6127939134,electronics,"Panasonic 32"" TV",Flat screen TV 32 in still has the plastic screen cover on it. Needs a universal remote price is negotiable.,100,90,Panasonic TV
662_6137745831,bike,Schwinn S-25 Full Suspension Mountain Bike,"This bike was a total mess when it came to us, but in reality it is actually a lightly used bike. It still sports the L and R stickers on the cranks from when it was brand new. And after us giving it a full tune up, it rides damn close to brand new. Come take it for a test ride and see what you think.",250,225,Mountain Bike
663_6133569871,car,Ford Fiesta ST 2016,"This Ford Fiesta ST 2016 is in excellent condition. The car is fully loaded, nearly every option was added. This car has been very loved and perfectly taken care of. Black rims Bluetooth",20000,18000,Hatchback
671_6097901486,car,"1974 Ford Ranchero 500, 351 Cleveland, No Smog Required!!","'74 Ranchero 500. Runs and drives excellent! Equipped with the legendary 351 Cleveland (stock) and automatic transmission. Newer exhaust sounds and looks great. The body is remarkably straight with just a couple small blems in the sheet metal, however it could use new paint.  The doors, hood and tailgate open and close smoothly and straight.  Glass is all good. Steering is tight and brakes are good.  Lights all work. The factory A/C is charged and runs, but needs work on the fan and/or venting.  Odometer shows 61K, I am not sure of that is original or has rolled over.  Spare tire, lug wrench and original jack included. Current registration. Priced to sell, see attached book value. Great for a cruiser, or build a killer looking hot rod.",4900,2450,Classic Car
676_6132632060,housing,Gorgeous 3 bedrooms available in August! Perfect way to end the summer,"Call Now - Use this link for more info: http://thegreystar.com/42v07z Everyday Exceptional. Where You Belong. This is a 3 Bedroom, 2 Bath, approximately 1422 Sq. Ft. NEW APARTMENT HOMES IN PLEASANTON, CA.",3795,2656,Apartment
680_6133500658,housing,"Furnished Large Studio Available June 1, 2 Blks from BART","Great find with convenient quick access on BART to all bay area locations. ∂	Fully furnished extra large studio in charming 2-unit Victorian, lovely flower garden. ∂	Location: Ashby Arts district, South Berkeley, 2 blocks from Ashby Bart Station (only 20 mins to Embarcadero SF). ∂	Close to UC Campus, UCSF Benioff Children's Hospital in North Oakland, and Alta Bates Hospital in South Berkeley.",1900,1710,Studio
685_6123282732,car,2016 MAZDA 3,"2016 MAZDA 3 WITH 23556 MILE THE CAR IS IN PERFECT CONDITION RUNS AND DRIVES SMOOTH, LATHER SEAT BACK UP CAMERA, RADIO, CD PRAYER, AUX,CRUISE CONTROL, AND MORE FOR MORE INFO CALL MPG: Up to 30 city / 41 highway",14500,13050,Compact Car
693_6132621757,housing,"""FULLY REMODELED"" Studio, 1 Bath, 4plex",Rooms: Studio / 1 bath Type: 4plex City/Neighborhood: Emeryville Showing: By Appointment Only,1895,947,Studio
704_6143884447,furniture,Patio Table Set with Chairs (Like New),"Patio Set. Beautiful round tempered glass table with 2 well-appointed chairs. Brown rustic color. Metal, Tempered Glass.",125,87,Patio Furniture
719_6124890591,car,Honda Accord lx -s,"I am selling my Honda Accord 2009 in very good condition very few miles, car fax available, all electric, very nice original wheels, Trade for Tacoma puede llamar para preguntas millas originales (209)----250---71----59",8400,5880,Sedan
750_6143567442,bike,K2 Alturas 2.0 21-speed mtn. bike. 200 obo,"feel free to call or send a text! shoot me an offer i'd rather not trade or sell for parts. K2 Alturas 2.0 21-speed mountain bike. 18-19"" (46-48cm) large aluminum frame. 29"" (74cm) average standover. Best fit someone 5'5""+. Specifications: Color: Gray with blue accent. Front Odessa ap aluminum suspension fork. SRAM 400ST FFS Grip shifters (3x7).",200,180,Mountain Bike
751_6124322331,furniture,Futon,"Very comfortable futon!!  The frame is oak with a lot of beautiful details, and the mattress pad is very comfortable for sitting on and sleeping on. The mattress is Springair brand, has springs and is made of cotton, and is the full-size pad, measuring 54"" by 75"".  This futon has a built-in rope to help you pull it back up from the bed position into the couch position. We are a smoke-free home. To give you an idea of the dimensions of the couch/futon: the height of the arms is 21"" the length: 6' 9 1/2""",125,87,Futon
752_6133643144,furniture,moving sale!! Full Mattress :: Orthopedic Luxury Firm,"""The mattress of my dreams"" ;-) The Original Mattress Company",25,12,Mattress 
753_6132612466,car,1999 GMC YUKON,paint color: white type: SUV Hi I am selling my GMC Yukon with RIMS and a CLEAN TITLE and runs great. It has 130k miles original and 4x4.,4400,3960,SUV
756_6140314960,electronics,Disabled iPhone for parts,IPhone a1662 Disabled.  Being sold for parts. This iPhone is disabled. Every part on the phone is perfect and it has a nice case.,60,54,iPhone for Parts
759_6138714181,furniture,Antique bureau w/ mirror + stained glass,"This beautiful bureau is made entirely of wood with lovely accents and details, a nice curving front, stained glass cabinets, an inside light behind the stained glass, and a removable top with mirror and extra shelves. The whole thing is gorgeous and wonderfully preserved, with no scratches and no stains. The one flaw is that one of the draw handles lost its screw. We still have the porcelain handle, but to reattach you'd need to find the right screw.",70,49,Antique Bureau
761_6145377038,furniture,Mid Century Sonneman Table Lamp,In good condition showing some wear for age and use Lamp in perfect working order,65,58,Table Lamp
762_6154228551,bike,Mint Specialized s-works epic wc,***Race Ready Rocket*** 2014 Specialized S-works Epic WC * Rockshoks brain front and fox brain rear * Specialized Phenom Saddle,3600,3240,Mountain Bike
764_6151834255,bike,"Bridgestone 1991 CB1, 16""medium/small,- Original and near Mint","Stored inside many years, clean as new and totally original including the original tires  Pete Petersen's original city bike  design. It looks new with a patina from 1991  It is the medium size 16"" frame . Bridgestone City Bike Posted here for the widest exposure but the bike is in Folsom and well worth the trip.  Cash only in Folsom,",110,99,Road Bike
766_6152088122,electronics,Samsung PN51F8500 51-Inch 1080p 600Hz 3D Smart Plasma HDTV,"Up for sale is my 51"" Samsung PN51F8500: The last and best remaining plasma TV you can buy. It's been discontinued by Samsung, so buying it used it the only route to go. I have owned this TV for about 6 months now. It is in prestine condition (still has the plastic cling wrap around the bezels because I never remove those). It has consistently been considered the best TV picture out there for 2 years in a row. The black levels/viewing angles/etc all blow away even 4k HDTVs that cost way more. Read up for yourself. You won't be able to buy a plasma, just LCDs or the exponentially more pricey OLED. Come with TV, remote, and a pair of 3D glasses.",1200,1080,Smart Plasma TV
769_6148688831,bike,Beautiful Dutch Bike,"For sale is a brand new Jorg and Olif Omafiets. The bike received a custom red and black paint job. It has never been ridden. I purchased a set of panniers in Amsterdam and added them. The front head light is dynamo powered, while the rear light takes batteries. I purchased the bike unassembled and when I built it, realized it wasnt the right size for me. Ooops.",375,262,Dutch Bike
779_6152133652,phone,iPhone 5S 16 gb black silver,Great condition.  No scratches. I upgraded to iPhone 7.,135,67,iPhone
781_6151845730,bike,Single speed bianchi practically new,"Almost new single speed bianchi, 51 cm frame. Asking 300 or best offer. Had the bike for a while and it just isn't for me so I'd like to sell it. Thanks for looking.",300,210,Single Speed Bike
793_6133096085,housing,"Coming Soon 2x2 Modern, Newly Renovated !!!!(hayward)","Cinnamon Apartments 23924 2nd Street,, Hayward, CA, 94541 Call Now - Want more information? Follow this link: http://trion.aptfeatures.com/69781s",2295,1147,Apartment
794_6107316574,housing,1 Bedroom Apartment,"ABSW 1 Bedroom Apartment Available Located in Southside, Berkeley, historically and popularly known as the epicenter of college life at Cal. Take pleasure in outdoor activities at your convenience by being just blocks away from Underhill Field and the historic People's Park. Eat up at the nearby Berkeley dining commons -- Crossroads or Cafe 3 -- or visit the Durant Food Court located on Telegraph Ave for a wide variety of ethnic cuisines. ABSW Apartments is the ideal place for students desiring that perfect mix of campus life and local social activities!",2200,1980,Apartment
798_6126471608,car,2005 Toyota Siena le,"170,000 super clean inside and out",5700,5130,Minivan
823_6152333110,electronics,BRAND NEW KLIPSCH HOME SPEAKER(s),"(8) BRAND NEW IN THE BOX // R-1650 WALL AND CEILING HOME SPEAKERS! Perfect for those who want excellent performance and durability.  Bought this system when I bought my home, but decided to go in another direction.  Never opened the box. Military Professional. No Scam!",499,449,Home Speaker
